text,emotion
"""Hindi ka marunong magtago!"" reklamo ni Emma kay Ethan sa laro.",2
"""Hindi mo dapat ginawa 'yan!"" sigaw ni Marco sa kaibigan na nakakalimutan ang pangako.",2
Nakakainis ka naman kalaro!,2
"Hindi natin laging napapansin, ngunit patuloy lang ang takbo ng buhay. Kahit saan.",3
"Pumupunta siya sa bahay-na-kahoy. ""Kumusta, alaga naming pusa?"" sabi ni Boyet habang pinakakain siya.",3
Gusto niyang makalaro si Boyet na nagsasabit ng kapirasong papel sa kuwintas niyang pisi.,3
"Pumupunta siya sa bahay-na-bato. Gusto rin niyang makalaro si Nino. ""Kumusta, alaga naming pusa?"" sabi ni Nino habang pinaiinom siya ng tubig.",3
Gusto niyang makalaro si Nino na nagsasabit din ng kapirasong papel sa kuwintas niyang pisi.,3
"Ang totoo, dalawa ang may-ari sa pusa, si Boyet at si Nino na nakapulot sa kaniya habang naglalaro ang dalawang bata sa malawak na bakuran ng kanilang mga bahay.",3
Kumusta na Boyet? Nandito ako ngayon sa bintana. Gumawa tayo ng mga eroplanong papel.,3
Tumanaw naman sa bintana si Boyet upang makita si Nino.At gumawa sila ng maraming eroplanong papel.,3
At nagpalipad ng mga saranggola sa bubungan sina Boyet at Nino. Parang nag uusap sa kalangitan ang mga saranggola nila.,3
"""Nagpasalamat ang mga tao kay Pedro sa pagbabahagi niya ng katotohanan.""",3
Masaya niyang pinagmasdan ang dalawang makulay na saranggola sa kalangitan.,3
"""Aba, salamat ka mo, Boyet!"" sabi ng Tatay ni Nino.",3
"Pumunta si Boyet sa bahay-na-bato dala ang isang mangkok ng pinakbet. ""Tito, pinabibigay sa inyo ni Tatay,"" sabi ni Boyet nang pagbuksan siya ng pinto ng Tatay ni Nino.",3
"""Salamat ka mo, Nino,"" sabi ng Tatay ni Boyet.",3
"Boyet, sabihin mo sa tatay mo, sira ang aming kotse? Di kami makapunta sa Bayan.",3
"""Salamat, pinsan! Paano mo nalamang sira ang sasakyan ko?"" tanong ng tatay ni Ni?. Tahimik lang na umalis ang tatay ni Boyet. Lihim na nagsenyasan si Boyet at si Ni? na ang ibig sabihin, ""Ayos!""",3
"Mula noon, kahit tumaas at lumago na ang bakod sa pagitan ng bahay na kahoy at bahay na bato, malaya nang nakapaglalaro ang magpinsan.",3
Masarap na agahan at hapunan lagi ang alay ni Boyet at ni Nino sa karterong pusa!,3
Salamat sa pusang walang kamalay-malay na naging kartero ng dalawang batang magpinsan na nagawang mapagbati ang kanilang mga tatay!,3
