text,emotion
"Masusunog kami, Bathala! Tulungan mo kami! sigaw ng mga tao.",1
Paano tayo makararating sa sanggol?,1
Lalong ayaw niya ang isang Hari na mas mataas at makapangyarihan pa sa kanya.,1
"May masamang balak si Herodes sa sanggol, babala ng angel at sinabi ang balak ni Herodes.",1
Takot na takot ako.,1
Mula noon ay lalong hindi siya makatingin Sa mga manok na salo-salo pa naman kung kumain.,1
Lagi siya sa isang sulok. Inaantok. Sumisinghot. Namamaluktot,1
Hindi ako takot sa dilim! habang nanginginig sa takot,1
"Nang makita niya na walang ilaw, nagsisigaw siya sa takot.",1
Tuka'y tumitiklop Pag nagtangkang tumilaok.,1
"Akala naman ni Onyok, Parati siyang pinagtatawanan Ng mga kapwa-manok.",1
Kumawala tuloy siya sa kamay ng kawal at napatalon ng mataas!,1
Lalong nagsisigaw ang prinsesa!,1
Takut na takot kay Poknoy Palaka!,1
Nakatatakot pa ang lakas ng hangin.,1
Lumakas ang ulan at hindi tumigil.,1
Maraming nasirang kahoy at pananim At waring babaha sa buong bukirin.,1
"Tumakbo agad si Tiktaktok at sumigaw nang sumigaw,",1
Huwag mong kainin ang karne! May lason pala 'yan!",1
Hindi mapakali si Beybi Dan.,1
Si Ching ay takot sa dilim.,1
"Kapag gabi na, natatakot siyang lumabas sa madilim na bakuran. ",1
Natatakot siyang pumasok sa mga gilid na walang ilaw. ,1
"Sa isip ni Ching, baka may bumabang kapre mula sa taas ng malaking punong mangga sa madilim na bakuran. ",1
"O may mga higanteng galamay na susunggab 
sa kaniya sa loob ng madilim na silid.",1
Tinatakot kasi siya ng mga pinsan niya.,1
"""Huwag kang lalabas ng bahay, Ching, baka kunin ka ng tikbalang!"" pananakot sa kaniya ni Kuya Jon.",1
Maya-maya ... Biglang dilim! Namatay lahat ng ilaw!,1
"""Ha! Takot n'yo lang ngayon sa liwanag ko!"" ",1
Pero teka ... unti-unting lumabo ang ilaw ng lente ni Ching ... hanggang mawala ang sindi nito.,1
Takot na takot si Ching!,1
 Napakadilim! At wala pa ang nanay niya!,1
Pumikit na lang si Ching at hinintay na dakmain siya ng mga malamig at mabalahibong kamay ng mga maligno ?,1
"""Ayan na, ayan na.?."" nanginginig na bulong ni Ching habang nakaupo sa dilim.",1
Bigla siyang kinilabutan sa nakita niya: dalawang kumikinang na maliit na kristal na lumulutang palapit sa kaniya.,1
Hindi na nakatinag sa takot si Ching.,1
"""Sandali lang, Toto!"" sigaw ni Mia.",1
Kumapit si Mia sa kaniyang sombrero at natangay siya paitaas.,1
"""Abay magaling,"" sagot ni Pagong kahit natatakot.",1
sagot ni Pagong kahit nanginginig.,1
"""Naku, huwag mo akong itapon sa ilog,"" pagmamakaawa ni Pagong.",1
"Sa madilim na gubat, naririnig ni Maria ang kakaibang ingay ng hindi kilalang nilalang.",1
"Nang biglang umitim ang langit, natakot si Juan dahil parang may mumunting multo sa kanyang harapan.",1
"Habang naglalakad siyang mag-isa, napansin ni Mia ang malakas na kidlat na nagdudulot ng pangamba sa kanyang puso.",1
"Dahil sa mabilis na pag-ulan, naging takot si Mateo na mawala sa kalsada at hindi makauwi.",1
"Dahil sa malakas na kulog, natatakot si Lito at nagtatago sa ilalim ng kanyang kumot.",1
"Nang mawala sa kanyang harapan ang kanyang mga kaibigan, naging takot si Tinay na baka siya'y maiwan mag-isa.",1
"Nang makarinig ng nakakakilabot na ingay sa silong ng bahay, naging takot si Diego at nagtago sa ilalim ng mesa.",1
Si Sofia ay nagtakbuhan nang makita niyang lumitaw ang malaking gagamba.,1
Nagulat si Andres nang biglang umandar ang nakakatakot na kwento sa radyo.,1
Nanginginig ang tuhod ni Diego nang makarinig ng malakas na yabag sa gabi.,1
Galit na galit si Herodes pero di siya nagpahalata.,2
"Pag nalaman niya kung nasaan ang sanggol, ipapatay niya ang sinasabing Hari ng mga Hari.",2
Galit na galit si Herodes nang hindi magbalik sa kanya ang tatlo.,2
Iniutos niyang patayin ang lahat ng sanggol.,2
Bakit kasi isinilang pa ako?,2
Galit nitong pinatigil ang lahat sa paghahabulan.,2
"Hindi mo dapat tinatakot ang iyong kapatid, ang sabi ng hari sa kawal.",2
At hindi mo dapat pinaglalaruan ang mga palaka.,2
Pagbabayaran mo ang ginawa mo sa akin!" ,2
galit na galit na sabi ng Datu sa binata. ,2
Itapon sa dagat ang manlolokong iyan! ,2
"Luko-luko yata ang taong ito. Lumalapit na ang suwerte, ayaw pa, ",2
Nasaan ang Pilandok na iyan?" galit na galit na tanong ng Datu nang magkamalay,2
"Inggit na inggit ang mga babae kay Maria, lalo na sina Tiya Justa, Juanita, at Jovita.",2
Inggit na inggit sila sa di nakilalang si Maria.,2
Sakim at malupit si Datu Usman.,2
Mabagsik siyang magparusa sa sinumang tumutol at ayaw sumunod.,2
Hinakot ng mga kawal ang lahat ng ginto.,2
"Sinamsam nila ang mga suklay, hikaw, singsing, at iba pang alahas na may ginto.",2
Sinamsam nila ang mga kasangkapan ng taumbayan na yari sa ginto.,2
at galit na galit siya kay Datu Usman.,2
Sino ka?!? mabagsik na sigaw ng datu.,2
"Kawal, palayasin ang pulubing ito!",2
Baliw ka ba? Paano ako magkakaginto sa alaga mong payat na manok?,2
Umiral ang kasakiman ng datu at pumayag sa mga hiling ni Pilandok.,2
Marami namang kagalit si Pikpakbum.,2
"""Hep! Sa ating paghahati, ako muna ang pipili,"" sabi ni Matsing.",2
"""Hindi maaari! Ako ang nakakita kaya ako ang 'unang pipili!"" sabi ni Matsing.",2
Hindi na niya binigyan ng saging si Pagong.,2
