text,sentiment
Ako si Kaliwa.,1
Kapatid ko si Kanan.,1
Hinubog kami mula sa iisang goma.,1
Iisa ang aming itsura.,1
"Magkasinggaan, magkasinlaki.",1
"Ako si Kanan, kapatid ko si Kaliwa.",1
Sabay kaming binili ng nanay ni Carlo sa Divisoria.,1
Iisa ang aming porma. Magkakulay. Magkasintibay.,1
Maghapon ay nag-uunahan kami ni Kanan.,1
Maghapon ay nag-iiwanan kami ni Kaliwa.,1
Sa akin nakatali ang lubid ng kaniyang saranggola.,1
Ako si Kanan.,1
Sa akin umaasa kapag namumukol ng mangga.,1
"Isang umaga, pagkagising ko ay narinig ko si Carlo: ""Nay, nakita po ba niyo 'yung kanang tsinelas ko?""",1
Nakita ko si Carlo na paikot-ikot sa kuwarto.,1
"Pinuntahan ang bawat sulok, silong, at kanto.",1
Maghapong hinanap niya si Kanan.,1
Maghapong hindi niya ako isinuot.,1
Maghapong hindi niya ako dinampot.,1
Hindi kami naglaro ng tumbang preso.,1
"At pagdating ng gabi, isinilid pa niya ako sa aparador ng mga pinaglumaang sapatos.",1
Bakit ka nandito? ang tanong ng matandang bota.,1
Mukha ka pang matibay at may ibubuga.,1
Nawala ho kasi ang kapatid kong si Kanan.,1
"Ay, ganiyan talaga! ang sabi ng isang bakya.",1
Ako ri'y nawalan ng kapareha at ngayo'y nag-iisa.,1
Di tuloy ako makaalis kahit na isang hakbang.,1
"Dito nakapirme, nakatago't nakalimutan.",1
Nasaan na kaya si Kanan?,1
Bigla ko tuloy siyang hinanap.,1
"Isang umaga, pagkagising ko ay nasa labas na ako ng bahay.",1
Dinala ako rito ng asong bantay.,1
Nawala na si Kaliwa sa tabi ko!,1
Natanaw ko si Carlo na paikot-ikot sa kuwarto.,1
"Pinuntahan ang bawat sulok, silong at kanto.",1
Siguro'y naglalaro sila ng taguan ni Kaliwa.,1
"At pagdating ng gabi, mag-isa ako sa kalsada.",1
Bakit ka nandito? ang tanong ng lumang gulong ng bisikleta.,1
Mukha ka pang matibay at may ibubuga.,1
Ay ganyan talaga! ang sabi niya.,1
Nasaan na kaya si Kaliwa?,1
"Nandito lang pala 'yung isang tsinelas mo, iho! ang hiyaw ng nanay ni Carlo.",1
Dali-dali akong kinuha ni Carlo mula sa aparador.,1
"Nandito lang pala 'yung isang tsinelas mo, iho! sabay pulot sa akin ng nanay ni Carlo.",1
Sabay kami ni Kanan na lumipad sa ere.,1
Sabay kami ni Kaliwa na tumapak sa lupa.,1
Buong umaga ay naglaro kami sa may sapa.,1
Buong hapon ay nagpalipad ng saranggola.,1
Sabay kaming naglaro ng tumbang preso.,1
Sabay kaming namukol ng mangga sa kanto.,1
"Sa tuwing hahakbang, kami'y naghihintayan.",1
"Siya si Kanan. Saanman magpunta, magkasama kaming dalawa.",1
"Siya si Kaliwa. Saanman magpunta, magkasama kaming dalawa.",1
"Isang araw, si Anna ay naglalaro kasama ang kanyang kaibigan. ",1
Ang kaibigan niya na si Abby ay may dalang alaga na pusa. ,1
"“Magandang umaga Anna, ito ay si Topaz, ang bago kong pusa.” sabi ni Abby.",1
Pagbalik ni Anna sa bahay nagtanong agad siya sa nanay niya kung pwede siyang magkaroon ng alaga.,1
"“Mama, pwede po ba akong magkaroon ng alaga?” tanong ni Anna.",1
“Pag-iisipan ko muna anak.”,1
Pagkatapos nito ay pumunta na si Anna sa kanyang higaan upang matulog.,1
"Kinabukasan, pagkagising ni Anna ay nagtungo agad siya sa tulugan ng kanyang mga magulang.",1
"“Mama, bibilhan niyo po ba ako ng alaga?” tanong niya ngunit natutulog pa ang kanyang mga",1
